,Developer,Business_Intelligence,Business_Analyst,Tester
,Java ,Sql,Agile,"Attention to detail
"
,python,Python,"Stakeholder Management
","Communication
"
,css,Tableau,"project management
",Agile
,Html,Power BI,"risk analysis
","ISTQB
"
,Sql,"Analytical
","process modelling
","stakeholder management
"
,Javascript,"Business Knowledge
","Excel
","Selenium
"
,Spring ,"Domain knowledge
","written
Communication","WebDriver
"
,agile,"Visualisation
","Verbal
Communication","Java
"
,Mockito,"Data Modelling
",,"NET
"
,tdd,"Data Warehousing
",,"C#
"
,Oracle,"ETL Concept
",,"Cucumber
"
,"tensorflow
","Stakeholders Management
",,"MySQL
"
,"keras
",,,"Team Foundation Server (TFS)
"
,"salesforce
",,,"GIT
"
,"pyspark
",,,
,"c++
",,,
,"c
",,,
,"hadoop
",,,
,"git
",,,
